,Classe Iris-setosa,Classe Iris-versicolor,Classe Iris-virginica
Neurônio 0,38,0,0
Neurônio 1,12,3,0
Neurônio 2,0,0,0
Neurônio 3,0,0,0
Neurônio 4,0,0,0
Neurônio 5,0,0,0
Neurônio 6,0,0,0
Neurônio 7,0,0,0
Neurônio 8,0,0,0
Neurônio 9,0,0,0
Neurônio 10,0,44,13
Neurônio 11,0,3,37
