neuronio_id,sepal length,sepal width,petal length,petal width
0,5.05738498789346,3.484261501210653,1.4556900726392241,0.23970944309927342
1,4.880000000000003,3.059411764705884,1.8211764705882363,0.4076470588235296
2,5.057384987893464,3.484261501210653,1.455690072639231,0.23970944309927536
3,4.880000000000003,3.0594117647058834,1.8211764705882476,0.40764705882353464
4,5.057398116714646,3.484251438817147,1.4557338500135777,0.2397271399886954
5,4.880051116218826,3.0594105694105593,1.821279770124074,0.40769076746385063
6,5.973304421035018,2.782268410863951,4.5097759909208595,1.4743157112772143
7,6.709467136643931,3.0166317320548535,5.518302557654003,1.9719944012831951
8,5.973310810810826,2.78226351351352,4.509797297297305,1.4743243243243263
9,6.709473684210527,3.0166315789473694,5.518315789473682,1.9719999999999995
10,5.973310810810803,2.782263513513512,4.509797297297293,1.4743243243243231
11,6.709473684210523,3.0166315789473677,5.518315789473681,1.972
