neuronio_id,sepal length,sepal width,petal length,petal width
0,4.947016706443915,3.372076372315035,1.4269689737470161,0.21384248210023857
1,5.194656488549621,3.564885496183208,1.582442748091604,0.3404580152671756
2,4.947016706443913,3.3720763723150355,1.4269689737470208,0.21384248210024018
3,5.194656488549651,3.5648854961832077,1.5824427480916212,0.3404580152671828
4,4.947030049252072,3.3720675493323173,1.427010284369115,0.21385910986380938
5,5.19471434079389,3.5648640287109163,1.582596534504772,0.3405225501302515
6,5.915937504717234,2.7313738033687343,4.426841300753797,1.4213083894590055
7,6.643782221119103,3.0271523985284094,5.434598381789904,1.9569749184758258
8,5.915944540727918,2.7313691507799014,4.426863084922019,1.4213171577123065
9,6.643785850860424,3.027151051625242,5.434608030592736,1.9569789674952207
10,5.915944540727894,2.731369150779895,4.426863084922006,1.4213171577123043
11,6.64378585086042,3.0271510516252396,5.434608030592733,1.9569789674952198
