neuronio,Intercept,sepal length,sepal width,petal length
0,-0.4725714602784227,-0.08917572883242436,0.0873615512934314,0.5449007756863767
1,-0.6010939732605299,0.059349895368408685,-0.10656520065666863,0.5357522912513845
2,-0.4417954416099121,-0.1318544724263519,0.1435376278036414,0.5448138481248821
3,-0.4841482212944094,-0.1426622342527934,0.1269044685504843,0.5975734000286167
4,-0.23017903828440633,-0.17389858261170998,0.1612240835170381,0.5287356905875152
5,-0.1708565367624436,-0.20704553213769933,0.17794235423773522,0.5414468012608903
6,-0.22700146005966776,-0.18492516381840024,0.19282288828501337,0.5138165527524413
7,-0.32049605480403887,-0.13276260422368555,0.18011042238240488,0.4614684613659784
8,-0.2054988970884498,-0.08541031843695761,0.12564471351644488,0.37570427829186354
9,-0.16248474611656308,-0.12025988012344106,0.1402012029766075,0.420623058802473
10,-0.5434476089297918,0.020652468235379962,0.13179697523756506,0.2898674118536186
11,-0.24515651955030693,-0.08491777256427734,0.13498127481692615,0.38527409933636575
