,Iris-setosa,Iris-versicolor,Iris-virginica
Neurônio 0,3,1,10
Neurônio 1,5,1,10
Neurônio 2,6,3,5
Neurônio 3,0,0,0
Neurônio 4,2,7,8
Neurônio 5,1,0,0
Neurônio 6,0,0,0
Neurônio 7,7,15,2
Neurônio 8,0,0,0
Neurônio 9,6,10,2
Neurônio 10,11,7,7
Neurônio 11,9,6,6
