,Iris-setosa,Iris-versicolor,Iris-virginica
N0,8,1,8
N1,7,2,9
N2,1,2,7
N3,5,0,0
N4,8,7,9
N5,0,0,0
N6,5,0,0
N7,1,13,2
N8,0,0,0
N9,6,9,4
N10,5,8,7
N11,4,8,4
