,Iris-setosa,Iris-versicolor,Iris-virginica
Neurônio 0,26,0,0
Neurônio 1,24,1,0
Neurônio 2,0,0,0
Neurônio 3,0,0,0
Neurônio 4,0,0,0
Neurônio 5,0,0,0
Neurônio 6,0,0,0
Neurônio 7,0,0,0
Neurônio 8,0,0,0
Neurônio 9,0,0,0
Neurônio 10,0,9,36
Neurônio 11,0,40,14
